no,name,kor,eng,math,total,avg
85,Rozamond,27,9,84,120,40
86,Annabelle,74,22,31,127,42.3333333333
87,Dav,53,47,73,173,57.6666666667
88,Concettina,28,8,72,108,36
89,Claudie,1,20,79,100,33.3333333333
90,Miles,1,67,54,122,40.6666666667
91,Veronica,80,38,91,209,69.6666666667
92,Saxon,77,29,16,122,40.6666666667
93,Irvin,21,82,20,123,41
94,Aindrea,77,54,2,133,44.3333333333
95,Jarrid,91,22,67,180,60
96,Felecia,10,7,40,57,19
97,Curry,52,98,13,163,54.3333333333
98,Theo,74,64,97,235,78.3333333333
99,Delia,17,65,15,97,32.3333333333
100,Howie,96,47,37,180,60
101,Dallon,34,45,29,108,36
102,Karlens,64,73,7,144,48
103,Marita,26,58,25,109,36.3333333333
104,Joela,25,12,63,100,33.3333333333
105,Rafa,80,61,70,211,70.3333333333
106,Bearnard,90,30,48,168,56
107,Agneta,1,43,77,121,40.3333333333
108,Garth,42,32,93,167,55.6666666667
109,Starlene,1,61,94,156,52
110,Angelica,95,3,21,119,39.6666666667
111,Annora,21,13,100,134,44.6666666667
112,Dix,16,8,70,94,31.3333333333
113,Gustavus,38,37,2,77,25.6666666667
114,Delia,60,82,55,197,65.6666666667
115,Lura,35,88,70,193,64.3333333333
116,Norene,60,9,3,72,24
117,Wallas,72,86,32,190,63.3333333333
118,Averyl,5,65,17,87,29
119,Toby,64,35,98,197,65.6666666667
120,Felizio,52,69,35,156,52
121,Katlin,32,16,19,67,22.3333333333
122,Ryan,39,44,18,101,33.6666666667
123,Vivian,44,8,42,94,31.3333333333
124,Daphene,47,59,4,110,36.6666666667
125,Kaitlyn,78,87,25,190,63.3333333333
126,Sayers,52,69,95,216,72
127,Grant,71,30,71,172,57.3333333333
128,Dick,5,32,26,63,21
129,Wallie,97,92,62,251,83.6666666667
130,Tallulah,92,33,60,185,61.6666666667
131,Juline,31,25,7,63,21
132,Amye,23,44,44,111,37
133,Willetta,35,79,73,187,62.3333333333
134,Roberta,54,60,77,191,63.6666666667
135,Briney,55,4,65,124,41.3333333333
136,Aluin,94,17,33,144,48
137,Delmer,44,29,15,88,29.3333333333
138,Valentine,5,64,21,90,30
139,Corly,29,13,52,94,31.3333333333
140,Aubine,9,13,26,48,16
141,Pyotr,21,30,2,53,17.6666666667
142,Burk,2,55,15,72,24
143,Krissy,14,7,91,112,37.3333333333
144,Dede,86,73,22,181,60.3333333333
145,Falito,100,68,75,243,81
146,Merrily,17,64,30,111,37
147,Lowe,8,26,93,127,42.3333333333
148,Janis,93,90,2,185,61.6666666667
149,Arda,98,16,95,209,69.6666666667
150,Alex,83,42,24,149,49.6666666667
151,Tandie,92,79,12,183,61
152,Axel,83,90,49,222,74
153,Margaretha,28,82,52,162,54
154,Peterus,69,33,90,192,64
155,Ave,52,67,18,137,45.6666666667
156,Adrianne,44,37,13,94,31.3333333333
157,Slade,95,6,47,148,49.3333333333
158,Yulma,40,90,40,170,56.6666666667
159,Tessie,53,73,48,174,58
160,Gaylord,70,13,92,175,58.3333333333
161,Adiana,27,36,35,98,32.6666666667
162,Sherm,68,68,52,188,62.6666666667
163,Geoffrey,41,4,30,75,25
164,Ardisj,55,4,33,92,30.6666666667
165,Sharity,86,9,35,130,43.3333333333
166,Berget,64,45,87,196,65.3333333333
167,Nicolas,31,17,60,108,36
168,Ambrosio,31,58,1,90,30
169,Cassey,32,28,73,133,44.3333333333
170,Darsie,71,79,88,238,79.3333333333
171,Katuscha,4,82,74,160,53.3333333333
172,Salmon,2,69,96,167,55.6666666667
173,Nate,45,28,73,146,48.6666666667
174,Casper,40,9,75,124,41.3333333333
175,Hewett,82,3,76,161,53.6666666667
176,Helsa,94,60,47,201,67
177,Ardelis,34,3,98,135,45
178,Reggi,94,50,11,155,51.6666666667
179,Quinn,91,83,86,260,86.6666666667
180,Ashlan,9,25,53,87,29
181,Johann,6,20,58,84,28
182,Dale,62,96,65,223,74.3333333333
183,Cedric,76,65,72,213,71
184,Rebecka,58,36,62,156,52
185,Jimmie,4,18,30,52,17.3333333333
186,Roda,23,49,70,142,47.3333333333
187,Marylynne,29,17,55,101,33.6666666667
188,Armstrong,98,64,41,203,67.6666666667
189,Carlene,71,78,47,196,65.3333333333
190,Eunice,73,14,43,130,43.3333333333
191,Culver,27,43,42,112,37.3333333333
192,Sophey,57,42,90,189,63
193,Garland,23,33,72,128,42.6666666667
194,Marianne,89,51,5,145,48.3333333333
195,Kristofor,48,82,38,168,56
196,Urson,34,83,37,154,51.3333333333
197,Harland,54,21,10,85,28.3333333333
198,Cthrine,60,18,24,102,34
199,Marleah,53,40,67,160,53.3333333333
200,Isabella,62,26,2,90,30
201,Pia,47,42,27,116,38.6666666667
202,Rolph,57,87,63,207,69
203,Gratiana,84,71,53,208,69.3333333333
204,Lilia,57,34,52,143,47.6666666667
205,Elaina,9,69,58,136,45.3333333333
206,Devin,85,97,45,227,75.6666666667
207,Mireielle,83,46,6,135,45
208,Kingsley,18,25,42,85,28.3333333333
209,Immanuel,22,25,84,131,43.6666666667
210,Emmanuel,55,21,92,168,56
211,Rafaela,94,73,74,241,80.3333333333
212,Jonah,2,27,41,70,23.3333333333
213,Burty,43,35,11,89,29.6666666667
214,Elbertine,18,1,83,102,34
215,Anette,28,77,77,182,60.6666666667
216,Alicia,86,11,50,147,49
217,Herb,24,86,97,207,69
218,Archy,16,19,46,81,27
219,Daune,11,61,10,82,27.3333333333
220,Sorcha,6,41,95,142,47.3333333333
221,Stacie,30,65,43,138,46
222,Vitoria,64,56,7,127,42.3333333333
223,Eachelle,30,2,87,119,39.6666666667
224,Nicolas,58,39,30,127,42.3333333333
225,Tudor,96,89,44,229,76.3333333333
226,Dame,19,62,62,143,47.6666666667
227,Jenni,20,99,82,201,67
228,Boy,4,82,54,140,46.6666666667
229,Doris,1,44,21,66,22
230,Niki,42,33,90,165,55
231,Jody,54,82,55,191,63.6666666667
232,Misti,24,20,93,137,45.6666666667
233,Phillis,75,27,80,182,60.6666666667
234,Vale,45,85,5,135,45
235,Duffy,44,86,8,138,46
236,Duff,88,13,32,133,44.3333333333
237,Evered,4,81,81,166,55.3333333333
238,Marian,37,8,36,81,27
239,Oona,77,36,74,187,62.3333333333
240,Katerina,84,24,50,158,52.6666666667
241,Irwin,20,10,79,109,36.3333333333
242,Grange,96,8,91,195,65
243,Borden,91,4,90,185,61.6666666667
244,Adriana,100,60,67,227,75.6666666667
245,Virgilio,23,42,39,104,34.6666666667
246,Bernard,13,56,15,84,28
247,Lilith,28,61,17,106,35.3333333333
248,Eveleen,2,71,12,85,28.3333333333
249,Ermengarde,55,7,33,95,31.6666666667
250,Brunhilda,56,99,60,215,71.6666666667
251,Lorne,50,81,6,137,45.6666666667
252,Wesley,86,8,62,156,52
253,Georgette,41,3,71,115,38.3333333333
254,Melodie,61,22,92,175,58.3333333333
255,Hestia,29,79,15,123,41
256,Cullen,94,23,23,140,46.6666666667
257,Jessika,95,82,7,184,61.3333333333
258,Holli,75,30,46,151,50.3333333333
259,Simmonds,98,80,15,193,64.3333333333
260,Mariquilla,28,60,85,173,57.6666666667
261,Bronny,13,68,19,100,33.3333333333
262,Jobi,90,42,94,226,75.3333333333
263,Fulton,1,17,85,103,34.3333333333
264,Dal,69,16,6,91,30.3333333333
265,Kyle,42,27,73,142,47.3333333333
266,Estell,44,59,23,126,42
267,Gayla,16,7,74,97,32.3333333333
268,Kelley,4,99,79,182,60.6666666667
269,Terrill,27,79,35,141,47
270,Rowen,86,15,21,122,40.6666666667
271,Kayne,86,34,50,170,56.6666666667
272,Marney,68,84,96,248,82.6666666667
273,Aime,16,29,74,119,39.6666666667
274,Nataline,5,33,84,122,40.6666666667
275,Kendra,12,20,13,45,15
276,Vyky,79,14,60,153,51
277,Brigg,15,97,38,150,50
278,Burnaby,35,39,95,169,56.3333333333
279,Nikoletta,24,59,94,177,59
280,Mariann,88,29,11,128,42.6666666667
281,Hammad,2,71,75,148,49.3333333333
282,Lynelle,46,63,14,123,41
283,Celisse,37,69,78,184,61.3333333333
284,Redford,16,43,62,121,40.3333333333
285,Maisey,56,9,34,99,33
286,Mohandis,95,23,55,173,57.6666666667
287,Dawna,53,45,77,175,58.3333333333
288,Sayres,67,66,27,160,53.3333333333
289,Paton,94,79,77,250,83.3333333333
290,Jeanna,80,59,51,190,63.3333333333
291,Nessa,79,38,51,168,56
292,Deidre,45,76,11,132,44
293,Catina,80,62,33,175,58.3333333333
294,Marlow,64,2,78,144,48
295,Alice,7,70,96,173,57.6666666667
296,Yankee,48,54,21,123,41
297,Sheelah,12,2,94,108,36
298,Elsy,54,54,100,208,69.3333333333
299,Elke,86,49,97,232,77.3333333333
300,Liam,1,42,85,128,42.6666666667
301,Ivette,69,75,88,232,77.3333333333
302,Adrian,50,71,99,220,73.3333333333
303,Ellissa,32,7,94,133,44.3333333333
304,Lee,16,90,60,166,55.3333333333
305,Valry,62,91,3,156,52
306,Gerianne,95,56,11,162,54
307,Veronique,72,83,82,237,79
308,Hasty,85,92,5,182,60.6666666667
309,Trixi,45,54,1,100,33.3333333333
310,Hamid,28,59,60,147,49
311,Damien,55,32,3,90,30
312,Jeniece,45,11,93,149,49.6666666667
313,Kiley,57,26,50,133,44.3333333333
314,Glyn,57,68,62,187,62.3333333333
315,Ebeneser,18,59,41,118,39.3333333333
316,Sallyann,61,55,38,154,51.3333333333
317,Guinna,8,67,64,139,46.3333333333
318,Terrye,58,85,13,156,52
319,Robinet,29,51,82,162,54
320,Dru,18,41,99,158,52.6666666667
321,Constancy,72,38,35,145,48.3333333333
322,Poppy,89,51,29,169,56.3333333333
323,Monro,61,24,96,181,60.3333333333
324,Aggie,5,64,98,167,55.6666666667
325,Cathlene,10,92,65,167,55.6666666667
326,Norbert,71,32,2,105,35
327,Basil,62,48,52,162,54
328,Ezekiel,70,57,7,134,44.6666666667
329,Lishe,42,98,25,165,55
330,Clemmy,14,23,70,107,35.6666666667
331,Twila,37,32,3,72,24
332,Pier,15,59,98,172,57.3333333333
333,Reinold,59,46,25,130,43.3333333333
334,Mathias,82,19,72,173,57.6666666667
335,Katleen,96,88,29,213,71
336,Abrahan,9,16,67,92,30.6666666667
337,Hattie,78,45,76,199,66.3333333333
338,Cherin,53,58,36,147,49
339,Harriett,39,84,15,138,46
340,Genevieve,9,48,31,88,29.3333333333
341,Demeter,21,16,15,52,17.3333333333
342,Beltran,96,58,15,169,56.3333333333
343,Sara,36,33,90,159,53
344,Reid,53,48,71,172,57.3333333333
345,Moreen,17,27,9,53,17.6666666667
346,Broddie,10,96,96,202,67.3333333333
347,Amargo,91,34,83,208,69.3333333333
348,Meryl,84,60,76,220,73.3333333333
349,Arie,27,35,18,80,26.6666666667
350,Maurizio,50,23,86,159,53
351,Sibel,81,91,82,254,84.6666666667
352,Randie,67,75,29,171,57
353,Kriste,36,97,28,161,53.6666666667
354,Wendell,74,54,57,185,61.6666666667
355,Prudence,55,91,4,150,50
356,Armstrong,39,30,36,105,35
357,Marcy,57,99,30,186,62
358,Moreen,76,9,69,154,51.3333333333
359,Costanza,36,97,63,196,65.3333333333
360,Nannie,7,77,83,167,55.6666666667
361,Fred,20,86,45,151,50.3333333333
362,Stevy,57,69,35,161,53.6666666667
363,Hyman,30,45,2,77,25.6666666667
364,Jobey,20,12,39,71,23.6666666667
365,Irvin,67,59,11,137,45.6666666667
366,Mead,5,90,32,127,42.3333333333
367,Anna-diana,90,24,68,182,60.6666666667
368,Shannon,70,71,29,170,56.6666666667
369,Beatrice,78,24,17,119,39.6666666667
370,Anni,43,5,61,109,36.3333333333
371,Annmaria,84,47,76,207,69
372,Alejandrina,42,70,36,148,49.3333333333
373,Spike,19,5,52,76,25.3333333333
374,Kellina,65,18,95,178,59.3333333333
375,Ludwig,62,24,16,102,34
376,Elly,49,20,40,109,36.3333333333
377,Bond,95,15,91,201,67
378,Hetty,44,77,21,142,47.3333333333
379,Tabatha,1,18,52,71,23.6666666667
380,Cleavland,44,9,68,121,40.3333333333
381,Kiel,20,60,85,165,55
382,Cheri,62,12,3,77,25.6666666667
383,Kenna,75,41,85,201,67
384,Tab,20,71,43,134,44.6666666667
385,Winna,32,6,97,135,45
386,Demott,11,67,10,88,29.3333333333
387,Patric,30,49,1,80,26.6666666667
388,Silas,37,76,14,127,42.3333333333
389,Grissel,92,81,74,247,82.3333333333
390,Zechariah,38,41,87,166,55.3333333333
391,Simonette,6,47,78,131,43.6666666667
392,Trever,33,34,98,165,55
393,Ally,99,92,11,202,67.3333333333
394,Miltie,55,48,17,120,40
395,Jeramie,47,35,81,163,54.3333333333
396,Caddric,5,82,95,182,60.6666666667
397,Lukas,51,66,50,167,55.6666666667
398,Jessalyn,54,86,36,176,58.6666666667
399,Phillipe,82,48,37,167,55.6666666667
400,Kalindi,15,61,48,124,41.3333333333
401,Franny,84,57,38,179,59.6666666667
402,Corly,55,61,83,199,66.3333333333
403,Dev,90,97,24,211,70.3333333333
404,Amalia,76,66,74,216,72
405,Mel,55,54,70,179,59.6666666667
406,Darda,74,22,35,131,43.6666666667
407,Eliot,29,30,69,128,42.6666666667
408,Leo,32,94,97,223,74.3333333333
409,Ellissa,81,32,14,127,42.3333333333
410,Darrick,94,12,27,133,44.3333333333
411,Kile,3,3,54,60,20
412,Ashien,5,70,7,82,27.3333333333
413,Cristy,52,50,46,148,49.3333333333
414,Sheeree,66,34,29,129,43
415,Emmanuel,82,23,31,136,45.3333333333
416,Konstanze,30,75,7,112,37.3333333333
417,Nolana,23,67,8,98,32.6666666667
418,Dorrie,82,86,98,266,88.6666666667
419,Tera,25,30,81,136,45.3333333333
420,Gertrud,25,69,99,193,64.3333333333
421,Dora,10,22,83,115,38.3333333333
422,Randee,61,32,38,131,43.6666666667
423,Elysia,14,74,32,120,40
424,Terrance,49,8,27,84,28
425,Moll,22,44,9,75,25
426,Adina,7,11,20,38,12.6666666667
427,Lydon,22,40,94,156,52
428,Bathsheba,59,1,88,148,49.3333333333
429,Vickie,15,58,63,136,45.3333333333
430,Valeda,18,18,86,122,40.6666666667
431,Ancell,90,37,76,203,67.6666666667
432,Gertie,96,94,68,258,86
433,Mufi,39,67,18,124,41.3333333333
434,Lauralee,26,26,54,106,35.3333333333
435,Courtnay,90,31,74,195,65
436,Dag,19,52,87,158,52.6666666667
437,Lotty,64,42,33,139,46.3333333333
438,Randa,91,41,45,177,59
439,Lillian,90,71,94,255,85
440,Moritz,77,85,15,177,59
441,Laure,56,63,30,149,49.6666666667
442,Simeon,33,89,70,192,64
443,Jennee,13,71,98,182,60.6666666667
444,Lauren,31,22,89,142,47.3333333333
445,Marshal,9,48,29,86,28.6666666667
446,Bill,89,93,25,207,69
447,Valery,80,35,51,166,55.3333333333
448,Koral,41,20,9,70,23.3333333333
449,Nicoline,21,23,95,139,46.3333333333
450,Benjamen,63,92,87,242,80.6666666667
451,Son,39,71,22,132,44
452,Sondra,78,39,36,153,51
453,Sarina,67,13,74,154,51.3333333333
454,Dolph,49,41,14,104,34.6666666667
455,Josefina,41,29,29,99,33
456,Hartwell,91,63,33,187,62.3333333333
457,Kalindi,31,1,54,86,28.6666666667
458,Corabel,11,52,41,104,34.6666666667
459,Evita,94,73,22,189,63
460,Findley,81,60,9,150,50
461,Dew,84,53,7,144,48
462,Rhona,46,39,76,161,53.6666666667
463,Reta,10,97,67,174,58
464,Simon,4,19,71,94,31.3333333333
465,Tonnie,29,56,51,136,45.3333333333
466,Mariejeanne,25,7,58,90,30
467,Ray,26,100,44,170,56.6666666667
468,Leela,28,8,97,133,44.3333333333
469,Ely,11,92,30,133,44.3333333333
470,Umeko,82,2,14,98,32.6666666667
471,Saudra,53,49,76,178,59.3333333333
472,Oliy,8,6,26,40,13.3333333333
473,Tate,60,24,96,180,60
474,Benedict,98,38,77,213,71
475,Hollie,36,85,62,183,61
476,Gunar,53,32,34,119,39.6666666667
477,Beitris,79,12,93,184,61.3333333333
478,Odella,65,29,39,133,44.3333333333
479,Glen,90,68,99,257,85.6666666667
480,Pierrette,41,66,68,175,58.3333333333
481,Trip,90,25,86,201,67
482,Boony,27,31,11,69,23
483,Borden,26,25,69,120,40
484,Tatum,29,22,76,127,42.3333333333
485,Nollie,16,25,89,130,43.3333333333
486,Aloin,61,6,46,113,37.6666666667
487,Hugo,12,33,41,86,28.6666666667
488,Thane,73,18,90,181,60.3333333333
489,Bari,50,80,83,213,71
490,Christophorus,42,56,62,160,53.3333333333
491,Sharleen,99,12,80,191,63.6666666667
492,Christen,35,23,55,113,37.6666666667
493,Karine,60,56,84,200,66.6666666667
494,Aimee,12,71,92,175,58.3333333333
495,Brendan,6,7,46,59,19.6666666667
496,Pietro,19,98,3,120,40
497,Elbert,7,29,82,118,39.3333333333
498,Pauli,50,40,65,155,51.6666666667
499,Goldia,30,78,70,178,59.3333333333
500,Packston,42,37,64,143,47.6666666667
501,Petey,6,86,43,135,45
502,Bess,46,58,80,184,61.3333333333
503,Malissa,99,56,1,156,52
504,Koenraad,69,40,74,183,61
505,Lemar,29,43,39,111,37
506,Glory,69,4,76,149,49.6666666667
507,Westleigh,33,81,26,140,46.6666666667
508,Pebrook,15,57,9,81,27
509,Padgett,19,62,65,146,48.6666666667
510,Pierson,8,92,43,143,47.6666666667
511,Chere,96,64,80,240,80
512,Marge,58,92,30,180,60
513,Berny,82,75,76,233,77.6666666667
514,Rod,85,92,20,197,65.6666666667
515,Avigdor,58,53,98,209,69.6666666667
516,Ludovico,87,42,51,180,60
517,Dulcinea,86,2,59,147,49
518,Gerti,28,25,6,59,19.6666666667
519,Arabelle,40,38,70,148,49.3333333333
520,Mehetabel,76,98,6,180,60
521,Tiff,13,37,72,122,40.6666666667
522,Jaime,95,88,1,184,61.3333333333
523,Julina,29,84,11,124,41.3333333333
524,Ayn,88,24,34,146,48.6666666667
525,Yorgos,43,17,39,99,33
526,Darsie,54,45,35,134,44.6666666667
527,Virgina,30,19,40,89,29.6666666667
528,Bronson,22,83,83,188,62.6666666667
529,Riordan,77,77,7,161,53.6666666667
530,Sophie,96,49,82,227,75.6666666667
531,Candace,39,77,87,203,67.6666666667
532,Noni,37,5,52,94,31.3333333333
533,Toiboid,29,84,97,210,70
534,Shaine,17,37,64,118,39.3333333333
535,Dareen,41,51,63,155,51.6666666667
536,Holli,53,23,18,94,31.3333333333
537,Tish,88,52,80,220,73.3333333333
538,Rickert,26,24,34,84,28
539,Delmer,46,72,66,184,61.3333333333
540,Templeton,43,81,15,139,46.3333333333
541,Jacquetta,4,71,92,167,55.6666666667
542,Charita,29,9,49,87,29
543,Byrle,6,16,94,116,38.6666666667
544,Ingaberg,9,19,35,63,21
545,Kiley,65,100,87,252,84
546,Vasilis,39,77,46,162,54
547,Annissa,85,65,6,156,52
548,Anabel,88,94,13,195,65
549,Tucky,67,91,2,160,53.3333333333
550,Turner,82,77,73,232,77.3333333333
551,Dorella,69,83,57,209,69.6666666667
552,Georgie,40,66,3,109,36.3333333333
553,Virginia,32,98,56,186,62
554,Gage,89,87,5,181,60.3333333333
555,Kendal,57,81,17,155,51.6666666667
556,Mildred,34,76,99,209,69.6666666667
557,Lottie,5,5,51,61,20.3333333333
558,Lyn,18,32,36,86,28.6666666667
559,Beulah,84,91,35,210,70
560,Benjamin,56,68,96,220,73.3333333333
561,Abra,78,60,16,154,51.3333333333
562,Elayne,55,23,90,168,56
563,Roarke,87,58,17,162,54
564,Arel,95,7,37,139,46.3333333333
565,Steven,26,90,77,193,64.3333333333
566,Stefano,14,60,85,159,53
567,Claiborn,38,49,72,159,53
568,Ninnetta,93,89,5,187,62.3333333333
569,Rori,14,46,32,92,30.6666666667
570,Moira,63,33,6,102,34
571,Katharine,53,65,69,187,62.3333333333
572,Guglielma,13,71,87,171,57
573,Roxana,36,59,15,110,36.6666666667
574,Terese,33,26,17,76,25.3333333333
575,Anatole,84,11,74,169,56.3333333333
576,Kessiah,77,32,31,140,46.6666666667
577,Loise,8,26,90,124,41.3333333333
578,Wait,41,40,75,156,52
579,Kaela,86,30,50,166,55.3333333333
580,Catina,98,63,46,207,69
581,Gal,24,61,17,102,34
582,Ezequiel,45,34,12,91,30.3333333333
583,Vi,83,69,84,236,78.6666666667
584,Rubia,8,22,33,63,21
585,Debra,86,15,87,188,62.6666666667
586,Zack,53,8,75,136,45.3333333333
587,Filippo,98,82,34,214,71.3333333333
588,Aldous,31,52,66,149,49.6666666667
589,Dacey,43,69,80,192,64
590,Llewellyn,6,8,60,74,24.6666666667
591,Clive,43,60,67,170,56.6666666667
592,Gideon,57,68,20,145,48.3333333333
593,Quintilla,55,82,64,201,67
594,Mallorie,13,5,94,112,37.3333333333
595,Terri,63,80,21,164,54.6666666667
596,Arlie,32,36,95,163,54.3333333333
597,Yolande,23,34,15,72,24
598,Vernen,81,28,73,182,60.6666666667
599,Hewet,42,50,16,108,36
600,Maurene,21,77,2,100,33.3333333333
601,Bill,18,3,71,92,30.6666666667
602,Osmund,26,47,37,110,36.6666666667
603,Anatola,28,76,1,105,35
604,Dewain,28,3,51,82,27.3333333333
605,Rhea,56,69,40,165,55
606,Vicky,6,45,75,126,42
607,Maxie,35,18,44,97,32.3333333333
608,Julius,5,49,35,89,29.6666666667
609,Brietta,8,24,89,121,40.3333333333
610,Maurine,44,23,58,125,41.6666666667
611,Chelsy,43,93,85,221,73.6666666667
612,Cammie,51,65,7,123,41
613,Friederike,78,88,82,248,82.6666666667
614,Boothe,42,91,54,187,62.3333333333
615,Wendel,65,28,27,120,40
616,Mina,80,48,64,192,64
617,Bearnard,39,39,26,104,34.6666666667
618,Alyce,89,93,5,187,62.3333333333
619,Colette,4,25,78,107,35.6666666667
620,Claudine,86,97,88,271,90.3333333333
621,Amelita,64,46,75,185,61.6666666667
622,Margareta,99,49,3,151,50.3333333333
623,Rodd,97,64,53,214,71.3333333333
624,Brittany,68,98,74,240,80
625,Cristi,1,40,4,45,15
626,Hattie,96,87,89,272,90.6666666667
627,Ariel,35,5,39,79,26.3333333333
628,Upton,50,77,50,177,59
629,Marnie,86,8,96,190,63.3333333333
630,Devonna,23,82,25,130,43.3333333333
631,Alberto,43,71,41,155,51.6666666667
632,Bethina,25,61,58,144,48
633,Sukey,42,17,1,60,20
634,Alwin,20,59,87,166,55.3333333333
635,Anders,64,31,36,131,43.6666666667
636,Port,15,15,72,102,34
637,Sapphire,60,32,88,180,60
638,Carmine,74,56,41,171,57
639,Elicia,84,76,76,236,78.6666666667
640,Camile,90,86,1,177,59
641,Darbee,89,56,93,238,79.3333333333
642,Fairleigh,52,57,93,202,67.3333333333
643,Gael,28,36,95,159,53
644,Hewett,29,44,69,142,47.3333333333
645,Fabio,4,97,70,171,57
646,Alexia,24,23,36,83,27.6666666667
647,Bail,11,25,83,119,39.6666666667
648,Camala,83,95,33,211,70.3333333333
649,Daile,85,72,79,236,78.6666666667
650,Erek,57,12,51,120,40
651,Nedda,57,56,74,187,62.3333333333
652,Arlee,99,98,65,262,87.3333333333
653,Sherline,36,90,83,209,69.6666666667
654,Tandie,32,16,37,85,28.3333333333
655,Jo-anne,96,83,55,234,78
656,Edsel,77,29,63,169,56.3333333333
657,Christen,14,19,31,64,21.3333333333
658,Carson,95,77,60,232,77.3333333333
659,Amelita,31,76,28,135,45
660,Zita,81,22,18,121,40.3333333333
661,Vaughan,72,30,8,110,36.6666666667
662,Lila,57,61,77,195,65
663,Ellwood,78,80,91,249,83
664,Bar,36,41,88,165,55
665,Gerri,65,68,76,209,69.6666666667
666,Itch,10,26,7,43,14.3333333333
667,Agnes,42,68,56,166,55.3333333333
668,Brianna,3,60,14,77,25.6666666667
669,Blythe,26,47,31,104,34.6666666667
670,Krystle,68,18,35,121,40.3333333333
671,Marchelle,76,65,59,200,66.6666666667
672,Lisabeth,64,89,58,211,70.3333333333
673,Darell,71,99,46,216,72
674,Marcelia,55,32,30,117,39
675,Sholom,17,93,21,131,43.6666666667
676,Berri,79,24,47,150,50
677,Lorinda,88,97,84,269,89.6666666667
678,Lucy,74,84,79,237,79
679,Lani,31,46,78,155,51.6666666667
680,Kirstyn,86,63,62,211,70.3333333333
681,Alf,24,66,64,154,51.3333333333
682,Barbra,74,62,78,214,71.3333333333
683,Melisandra,5,79,6,90,30
684,Sally,41,58,5,104,34.6666666667
685,Carlynn,94,77,41,212,70.6666666667
686,Myrvyn,3,16,63,82,27.3333333333
687,Annabal,84,62,41,187,62.3333333333
